Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2005-01-03,22.36894989013672,22.677485461490466,22.288956926141623,22.55749928487593,14957900
2005-01-04,22.138395309448242,22.51303708994336,22.086521865974753,22.46692638522052,11360900
2005-01-05,22.184513092041016,22.43235051361975,22.126874692748192,22.247912033242944,9770200
2005-01-06,22.311307907104492,22.466928250444692,22.270962136462174,22.345890938517737,9115900
2005-01-07,22.13262939453125,22.403522050525243,22.12686445792849,22.29977517846657,9971200
2005-01-10,22.05770492553711,22.19603264956288,21.93090267961388,22.057704925537113,9284500
2005-01-11,21.84444236755371,22.04617115881641,21.84444236755371,21.95971470617301,8966300
2005-01-12,21.896326065063477,21.919379224388,21.654249203376366,21.90208880522462,9075900
2005-01-13,21.76952362060547,22.12111013198192,21.734940583875346,21.902088630051026,9646600
2005-01-14,21.79257583618164,21.890557794769183,21.700356616878224,21.77528322097001,7346500
2005-01-18,22.13262939453125,22.184502830560586,21.62542270876432,21.734932318746647,9729100
2005-01-19,21.80986213684082,22.16144853117244,21.80409939864421,21.90784407693759,15845900
2005-01-20,21.469812393188477,21.80410851400592,21.389120832627057,21.786815894828386,15240300
2005-01-21,21.2392578125,21.60813687954991,21.2392578125,21.469806954571247,14174400
2005-01-24,21.256546020507812,21.452512091037907,21.18737997301782,21.245018345926148,12870700
2005-01-25,21.245023727416992,21.44675258699748,21.227733310504284,21.319952531838172,9986100
2005-01-26,21.22773551940918,21.32571749034984,21.187387544614904,21.210442902017377,14555600
2005-01-27,21.181617736816406,21.26807419888732,21.043287837238772,21.106688949600223,9791100
2005-01-28,21.325706481933594,21.325706481933594,21.11245003274431,21.256542644108727,15282000
2005-01-31,21.515911102294922,21.556256860054106,21.464037671078984,21.487090819313593,14111800
2005-02-01,21.613914489746094,21.69460608538551,21.4986398393979,21.613914489746097,14015400
2005-02-02,21.625429153442383,21.63695683140421,21.54473760638935,21.613901475480557,13147400
2005-02-03,21.550504684448242,21.631196247745617,21.52744932388322,21.596615405578284,10737700
2005-02-04,21.723411560058594,21.752231854889384,21.55626572291093,21.57931888062384,10662400
2005-02-07,21.884788513183594,21.942424683513448,21.671529845869415,21.729168214878232,9438000
2005-02-08,21.76375961303711,21.896326826834883,21.723413834465624,21.85597884958337,7579200
2005-02-09,21.613914489746094,21.752244509900144,21.585096376829316,21.677315657371658,7084500
2005-02-10,21.585081100463867,21.7061184082615,21.55049807023046,21.64848222321868,8872600
2005-02-11,21.602380752563477,21.66001916092972,21.40641456147918,21.498633816184704,10676700
2005-02-14,21.613914489746094,21.6542602875658,21.48134941138405,21.6542602875658,6686000
2005-02-15,21.642709732055664,21.75798426058924,21.585073567128255,21.71187356970431,8145300
2005-02-16,21.515911102294922,21.573547270899788,21.429454650708728,21.52167383968385,9579800
2005-02-17,21.198909759521484,21.538968498181774,21.198909759521484,21.48709505673599,12155800
