timestamp,open,high,low,close
1648857600,1,1,0.9962,1
1648944000,1,1,0.9982,1
1649030400,1,1,0.9975,1
1649116800,1,1,0.9986,1
1649203200,1,1,0.9973,0.9998
1649289600,0.9995,1,0.9924,0.9986
1649376000,0.9986,1,0.9981,1
1649462400,1,1,0.9988,1
1649548800,1,1,0.9996,1
1649635200,1,1,0.9991,1
1649721600,1,1.01,0.9991,1
1649808000,1,1.01,0.9987,1
1649894400,1,1,0.9982,1
1649980800,1,1,0.9984,1
1650067200,1,1,0.9989,1
1650153600,1,1,0.9944,1
1650240000,1,1,0.9943,1
1650326400,1,1.01,0.9935,0.9968
1650412800,0.9969,0.9993,0.9953,0.9971
1650499200,0.9971,1,0.9956,0.9965
1650585600,0.9964,1,0.9935,1
1650672000,1,1.01,0.9955,0.9982
1650758400,0.9982,1,0.995,0.9964
1650844800,0.9956,1,0.9954,1
1650931200,1,1.01,0.9982,1
1651017600,1,1,0.9961,1
1651104000,1,1,0.9977,1
1651190400,1,1,0.9966,1
1651276800,1,1,0.9976,1
1651363200,1,1,0.9977,1
1651449600,1,1.01,1,1.01
1651536000,1.01,1.01,1,1
1651622400,1,1.01,1,1
1651708800,1,1.01,1,1
1651795200,1,1.01,0.9971,1.01
1651881600,1.01,1.01,1,1
1651968000,1,1.01,1,1
1652054400,1,1.01,0.9974,0.9997
1652140800,0.9995,1,0.9929,0.9995
1652227200,0.9994,1.01,0.9967,1
1652313600,1,1.01,0.9931,1
1652400000,1,1.02,0.9967,1
1652486400,1,1.01,0.9979,1
1652572800,1,1,0.9993,1
1652659200,1,1.01,0.999,1
1652745600,1,1,0.999,1
1652832000,1,1.01,0.9997,1
1652918400,1,1,0.9958,0.9959
1653004800,0.9961,1,0.9961,1
1653091200,1,1,0.9984,1
1653177600,1,1,0.9991,1
1653264000,1,1,1,1
1653350400,1,1,0.9984,1
1653436800,1,1,0.9942,1
1653523200,1,1,0.9978,0.9987
1653609600,0.9987,1,0.9933,0.9933
1653696000,0.9933,1.01,0.9933,0.998
1653782400,1,1,0.9967,1
1653868800,1,1,0.9974,0.9986
1653955200,0.9986,1,0.9972,0.9989
1654041600,0.9989,1,0.9965,0.9982
1654128000,0.9983,1,0.9944,0.9959
1654214400,0.9965,1,0.9948,0.9986
1654300800,0.9986,1,0.9935,0.9977
1654387200,0.9978,1,0.9948,0.9999
1654473600,0.9999,1,0.9969,1
1654560000,1,1,0.9971,1
1654646400,1,1,0.996,0.9978
1654732800,0.9977,1,0.9964,1
1654819200,1,1,0.9999,1
1654905600,1,1,0.9995,1
1654992000,1,1,0.9971,1
1655078400,1,1.01,0.9983,0.9989
1655164800,0.9986,1.01,0.9948,1
1655251200,1,1.01,0.9964,0.9995
1655337600,0.9993,1.01,0.9976,1
1655424000,1,1.01,0.999,1
1655510400,1,1.01,0.9985,1
1655596800,1,1.01,0.9978,1
1655683200,1,1.01,0.9958,1
1655769600,1,1.01,0.996,1
1655856000,1,1.01,0.9978,1
1655942400,1,1,0.996,0.9989
1656028800,0.9989,1.01,0.9977,1
1656115200,1,1,0.9979,0.9989
1656201600,0.999,1,0.9969,1
1656288000,1,1,0.9958,0.9973
1656374400,0.9973,1,0.9936,0.9973
1656460800,0.9971,1,0.9945,0.9975
1656547200,0.9975,1,0.9947,0.9986
1656633600,0.9987,1,0.9942,1
1656720000,1,1,0.9955,0.9975
1656806400,0.9977,1,0.9964,0.9993
1656892800,0.9993,1,0.9961,1
1656979200,1,1,0.9957,0.9988
1657065600,0.9987,1,0.9924,0.9977
1657152000,0.9978,1,0.9954,0.9969
1657238400,0.9969,1,0.9961,0.9999
1657324800,0.9998,1,0.9932,0.9966
1657411200,0.9971,1,0.9959,0.9972
1657497600,0.9973,1,0.9932,0.9989
1657584000,0.9988,1,0.9957,0.9984
1657670400,0.9984,1,0.9947,0.9998
1657756800,0.9999,1,0.996,1
1657843200,1,1.01,0.997,1
1657929600,1,1,0.997,0.9988
1658016000,0.9987,1.01,0.9958,0.9989
1658102400,0.999,1,0.9968,0.9981
1658188800,0.9966,1.01,0.9965,1
1658275200,1,1,0.9966,0.9995
1658361600,0.9995,1,0.996,0.9973
1658448000,0.9973,1,0.9946,1
1658534400,1,1,0.9974,0.999
1658620800,0.9987,1,0.9972,0.9994
1658707200,0.9995,1,0.9964,0.9966
1658793600,0.9966,1,0.9936,0.9951
1658880000,0.9951,1,0.9949,1
1658966400,1,1.01,0.9979,0.9997
1659052800,0.9997,1,0.9964,0.9981
1659139200,0.9981,1,0.996,0.9988
1659225600,0.9989,1,0.9963,0.9996
1659312000,0.9997,1,0.9963,1
1659398400,1,1,0.9969,1
1659484800,1,1,0.9969,0.9997
1659571200,0.9999,1,0.9964,0.9992
1659657600,0.9991,1,0.9978,1
1659744000,1,1,0.9984,1
1659830400,1,1,0.9988,0.9994
1659916800,0.9996,1,0.9984,1
1660003200,1,1,0.9993,1
1660089600,1,1,0.9975,0.9994
1660176000,0.9994,1,0.9977,1
1660262400,1,1,0.9981,0.9981
1660348800,0.998,1,0.9966,1
1660435200,1,1,0.998,0.9998
1660521600,0.9999,1,0.9974,1
1660608000,1,1,0.9975,1
1660694400,1,1,0.9977,0.999
1660780800,0.9989,1,0.9956,1
1660867200,1,1,0.9981,0.9988
1660953600,0.9987,1,0.9948,0.9986
1661040000,0.9993,1,0.9962,0.9999
1661126400,0.9998,1,0.9974,1
1661212800,1,1,0.9985,1
1661299200,1,1,0.9986,1
1661385600,1,1,0.9982,0.9998
1661472000,0.9998,1,0.9986,1
1661558400,1,1,0.994,0.9974
1661644800,0.9973,1,0.9962,0.9995
1661731200,0.9995,1,0.9979,0.999
1661817600,0.9992,1,0.9965,1
1661904000,1,1,0.9983,1
1661990400,1,1,0.9973,0.9993
1662076800,0.9994,1,0.9974,0.9994
1662163200,0.9993,1,0.9983,0.9991
1662249600,0.9991,1,0.998,0.9984
1662336000,0.9984,1,0.9976,1
1662422400,1,1,0.9978,1
1662508800,1,1.01,0.9956,0.999
1662595200,0.9988,1,0.9968,0.9998
1662681600,0.9998,1,0.9977,0.9994
1662768000,0.9993,1,0.997,1
1662854400,1,1,0.9979,0.9995
1662940800,0.9994,1,0.9977,1
1663027200,1,1,0.9984,1
1663113600,1,1,0.9954,0.9995
1663200000,0.9987,1,0.9976,0.9992
1663286400,0.9994,1,0.9948,1
1663372800,0.9999,1,0.9972,0.9996
1663459200,0.9997,1,0.9989,1
1663545600,1,1,0.9951,0.9964
1663632000,0.9964,1,0.9957,1
1663718400,1,1,0.9974,1
1663804800,1,1,0.9959,1
1663891200,1,1,0.9961,1
1663977600,1,1,0.9966,1
1664064000,1,1,0.9974,0.9987
1664150400,0.9986,1,0.9974,0.9979
1664236800,0.9981,1,0.996,1
1664323200,1,1.01,0.9951,0.9976
1664409600,0.9973,1,0.9953,1
1664496000,1,1,0.9965,0.9999
1664582400,0.9999,1,0.9973,1
1664668800,1,1,0.9995,1
1664755200,1,1,0.9962,0.9974
1664841600,0.9974,1.01,0.997,1
1664928000,1,1.01,0.998,1
1665014400,1,1.01,0.9966,0.9988
1665100800,0.9989,1,0.9949,0.9973
1665187200,0.9973,1,0.9929,0.9973
1665273600,0.9973,0.9996,0.9924,0.9986
1665360000,0.9986,1,0.991,0.9999
1665446400,1,1,0.9931,0.9971
1665532800,0.9971,1,0.9936,0.9956
1665619200,0.9958,0.9996,0.9944,0.996
1665705600,0.9958,1.01,0.9908,1
1665792000,1,1,0.994,0.9953
1665878400,0.9953,0.9992,0.9934,0.9979
1665964800,0.9979,0.9998,0.9951,0.9978
1666051200,0.9978,1,0.9965,0.9996
1666137600,0.9996,1,0.9974,0.9997
1666224000,0.9998,1.01,0.9947,0.9962
1666310400,0.9963,1,0.9912,0.9976
1666396800,0.9976,1,0.9943,0.9998
1666483200,0.9997,1,0.9953,0.9966
1666569600,0.9966,1,0.9954,1
1666656000,1,1,0.994,0.9955
